registro_id,colaborador,setor,cargo,admissao,desligamento,motivo_saida,faltas_ano,dias_trabalhados
7332,Ana Pilla Lima,QUALIDADE,Operador,2019-10-30,,,2,183
7333,Jonas Machado,Comercial ,Técnico,2021-02-03,,,5,207
7334,Simone Kunz Barcellos,Qualidade ,Analista,2025-02-23,,,0,182
7335,Jessica Sartori,Qualidade,Analista,2019-11-04,2024-05-21,Demissão sem justa causa,6,218
7336,Ricardo Sartori,Manutenção,Auxiliar,2019-06-20,2025-10-28,Fim de contrato,18,194
7337,Bianca Feltrin,Logística,Técnico,2020-01-23,,,5,193
7338,Felipe Oliveira,Produção,Operador,2024-09-13,,,6,209
7339,Larissa Rocha,Logística,Supervisor,2023-01-29,,,1,193
7340,Douglas Bortolotto,Produção,Técnico,2022-12-12,2024-06-19,Demissão sem justa causa,5,189
7341,Gustavo Martins,Manut.,Auxiliar,2024-02-25,2024-09-30,PEDIDO DE DEMISSAO,11,189
7342,Cristiane Sartori,Manut.,Operador,2022-12-13,,,12,199
7343,Leonardo Brum Goulart,Administrativo,Auxiliar,2023-04-11,2023-10-08,Demissão sem justa causa,,211
7344,Luciana Menezes,Manut.,Operador,2023-07-06,,,14,220
7345,Eduardo Silva,Comercial,Auxiliar,2024-04-13,,,5,193
7346,Willian Fagundes,COMERCIAL,Analista,2025-11-18,,,5,210
7347,Nathalia Vargas,Administrativo,Técnico,2025-02-03,,,2,181
7348,Rafael Menezes,Logística,Operador,2024-10-05,,,4,182
7349,Tiago Fagundes Martins,Qualidade,Técnico,2024-12-30,,,0,206
7350,Bruna Moraes,Produção,Operador,2022-06-08,,,,187
7351,Ana Vargas,LOGISTICA,Operador,2023-06-07,,,6,184
7352,Larissa Brum Brum,Administrativo,Operador,2022-03-05,,,,182
7353,Ana Cardoso,Produção,Auxiliar,2023-01-14,,,8,196
7354,Gustavo Dutra,Produção,Supervisor,2020-06-09,,,11,199
7355,Patricia Beltrame Bortolotto,Logística,Analista,2023-01-29,,,,181
7356,Douglas Kunz,Produção,Operador,2025-01-21,,,12,211
7357,Alexandre Trindade Costa,LOGISTICA,Analista,2025-10-13,2026-03-28,DEMISSAO SEM JUSTA CAUSA,4,187
7358,Nathalia Martins,Produção,Operador,2019-07-05,2024-05-26,Pedido de demissão,5,193
7359,Nelson Dutra,Administrativo,Operador,2024-04-10,,,6,182
7360,Marcos Moraes Pilla,PRODUCAO,Auxiliar,2020-10-21,,,-3,189
7361,Larissa Cardoso,Administrativo,Operador,2020-07-19,,,5,217
7362,Tiago Carvalho,Manutenção ,Operador,2023-07-15,,,16,210
7363,Rosane Rocha,MANUTENCAO,Analista,2023-04-28,,,12,209
7364,Joao Cardoso Oliveira,Produção,Operador,2022-03-05,2025-06-29,Pedido de demissão,2,200
7365,Nelson Feltrin Rodrigues,Produção,Operador,2023-11-30,,,6,188
7366,Eduardo Brum,Logística,Operador,2021-06-14,,,5,213
7367,Gabriela Costa,Produção,Supervisor,2022-07-29,,,7,217
7368,Andre Ribeiro,PRODUCAO,Supervisor,2025-04-19,,,4,210
7369,Bianca Rodrigues,Produção,Auxiliar,2023-06-08,2026-04-01,Fim de contrato,,190
7370,Vanessa Sartori,Manutenção,Supervisor,2024-10-10,,,7,212
7371,Eduarda Menezes,Administrativo,Operador,2021-03-12,2023-08-29,PEDIDO DE DEMISSAO,2,208
7372,Douglas Costa Marques,Produção,Operador,2020-04-29,,,-3,191
7373,Willian Dutra,Logística,Analista,2024-01-13,2025-08-08,Demissão sem justa causa,11,193
7374,Pedro Barcellos,Produção,Operador,2022-03-01,,,10,180
7375,Everton Sartori Vargas,Administrativo,Analista,2020-07-11,,,5,218
7376,Matheus Rocha Schneider,Produção,Operador,2019-06-22,,,4,200
7377,Otavio Bueno,Qualidade,Operador,2022-08-12,,,4,195
7378,Daniela Rodrigues,Logística,Técnico,2025-03-28,,,2,182
7379,Rafael Bueno Bortolotto,Produção,Operador,2025-11-18,,,4,218
7380,Patricia Trindade,Comercial,Operador,2025-04-28,,,3,208
7381,Camila Bortolotto,Logística,Auxiliar,2023-06-16,,,6,199
7382,Amanda Machado Fontoura,Produção,Auxiliar,2019-07-31,2025-07-15,Pedido de demissão,8,211
7383,Jonas Lima,Produção,Técnico,2025-06-10,,,6,188
7384,Cristiane Barcellos,Produção,Auxiliar,2021-03-03,,,12,180
7385,Thiago Menezes Schneider,MANUTENCAO ,Técnico,2021-07-20,2023-02-08,PEDIDO DE DEMISSAO,14,188
7386,Gabriela Feltrin Schneider,Produção,Operador,2024-12-02,,,3,219
7387,Vanessa Almeida,Qualidade,Analista,2022-09-03,,,2,196
7388,Larissa Almeida,Qualidade,Supervisor,2021-05-25,,,3,197
7389,Adriana Kunz Weber,Comercial,Técnico,2021-01-19,,,2,213
7390,Amanda Bortolotto,Produção,Analista,2019-01-27,,,5,180
7391,Priscila Bueno,Produção,Operador,2024-08-07,2026-03-30,Fim de contrato,6,200
7392,Eduarda Barcellos,Logística,Técnico,2022-05-28,,,4,210
7393,Otavio Gomes,Produção,Operador,2019-07-15,,,8,207
7394,Rafael Cardoso,Produção,Operador,2024-04-29,,,3,184
7395,Fernanda Machado,Produção,Operador,2019-12-08,,,10,189
7396,Vanessa Ferreira,Qualidade,Operador,2023-09-01,2025-07-17,Pedido de demissão,5,184
7397,Eduardo Dutra,PRODUCAO,Operador,2020-08-10,,,10,218
7398,Everton Ferreira,Produção,Operador,2020-01-30,,,10,191
7399,Fabio Dutra Barcellos,ADMINISTRATIVO,Analista,2024-04-11,,,2,185
7400,Maicon Weber,Manutenção,Auxiliar,2019-06-17,,,23,205
7401,Gustavo Rocha Marques,MANUTENCAO,Operador,2022-12-17,,,0,191
7402,Tiago Oliveira,Manut.,Operador,2021-09-16,2025-10-07,Demissão sem justa causa,5,192
7403,Daniela Brum Dutra,Produção,Auxiliar,2021-07-29,,,8,182
7404,Rosane Brum Fontoura,Produção,Supervisor,2021-01-28,,,8,189
7405,Joao Brum,Manut.,Técnico,2022-11-30,2023-04-17,FIM DE CONTRATO,14,190
7406,Sabrina Gomes,Manutenção,Analista,2024-12-17,,,15,186
7407,Priscila Rossi,PRODUCAO,Analista,2022-06-14,,,9,202
7408,Luciana Marques Silva,Logística,Operador,2020-10-06,,,5,204
7409,Aline Fagundes,Produção,Operador,2021-02-09,2023-04-20,PEDIDO DE DEMISSAO,7,216
7410,Jessica Dutra Beltrame,ADMINISTRATIVO,Operador,2022-08-03,,,2,194
7411,Sabrina Fagundes,Manutenção,Técnico,2019-12-03,,,20,199
7412,Andre Weber,Comercial,Auxiliar,2020-12-13,,,6,184
7413,Cesar Rossi Nunes,Produção,Analista,2023-11-20,,,3,214
7414,Simone Almeida,LOGISTICA,Técnico,2025-04-10,2025-09-08,Demissão sem justa causa,13,184
7415,Douglas Vargas Kunz,Comercial,Auxiliar,2021-03-05,,,2,194
7416,Fabio Lima,Logística,Analista,2019-07-29,,,7,187
7417,Luciana Costa,Produção,Supervisor,2022-12-24,,,11,198
7418,Nelson Bueno,Logística,Analista,2019-06-27,,,8,197
7419,Andre Moraes Kunz,Produção,Analista,2023-01-29,2024-02-06,Fim de contrato,14,218
7420,Mariana Schneider,Manut.,Auxiliar,2020-04-07,,,17,200
7421,Cristiane Carvalho,Administrativo,Auxiliar,2021-05-18,,,2,209
7422,Thiago Marques,MANUTENCAO,Analista,2023-10-08,,,10,207
7423,Juliana Schneider,MANUTENCAO,Analista,2019-08-22,2021-08-18,Pedido de demissão,12,216
7424,Thiago Nunes,Administrativo ,Operador,2020-05-10,,,4,201
7425,Marcos Fontoura Dutra,Administrativo,Técnico,2024-02-23,,,2,183
7426,Eduarda Goulart,Logística,Operador,2025-12-14,2026-05-09,Fim de contrato,,204
7427,Sabrina Fontoura Trindade,Comercial ,Operador,2022-06-12,,,5,181
7428,Nathalia Feltrin,Manutenção,Operador,2021-10-17,2024-10-05,Pedido de demissão,9,220
7429,Luciana Nunes Fagundes,Administrativo,Técnico,2019-02-11,,,3,186
7430,Jessica Bueno,Manutenção,Auxiliar,2021-09-10,,,13,180
