matricula_id,aluno,responsavel,curso,turno,situacao,mensalidade,data_matricula
5241,Ana Santos,Daniela Ribeiro,Técnico em Enfermagem,Noite,Evadido,500.00,2026-01-12
5242,Luciana Ferreira,Nathalia Gomes,Técnico em Segurança do Trabalho,Tarde,Evadido,320.00,2025-12-13
5243,Bruna Santos,Maria Souza Menezes,Técnico em Logística ,Noite,CONCLUIDO,340.00,2026-03-07
5244,Rodrigo Lima,Otavio Lima,Técnico em Contabilidade,Tarde,Evadido,310.00,2026-04-06
5245,Sabrina Carvalho Beltrame,Everton Bortolotto,Técnico em Contabilidade,Manhã,CURSANDO,310.00,2025-02-11
5246,Vanessa Ribeiro,Jessica Cardoso Rossi,TECNICO EM ESTETICA ,Noite,Concluído,420.00,2025-04-25
5247,Thiago Rocha Gomes,Pedro Trindade Trindade,Técnico em Contabilidade,Noite,EVADIDO,290.00,2025-04-22
5248,Elisa Weber Menezes,Marcos Bortolotto,Técnico em Estética,Manhã,Concluído,420.00,2025-05-25
5249,Maria Souza   ,Cristiane Pilla,Técnico em Administração,Noite,Evadido,340.00,2025-08-24
5250,Aline Dutra Dutra,Fernanda Zanella,Técnico em Administração,Noite,Concluído,300.00,2026-01-08
5251,Simone Rodrigues,Renata Sartori Zanella,Técnico em Segurança do Trabalho,Noite,Cursando,300.00,2026-06-03
5252,Cristiane Schneider,Rosane Carvalho Martins,Técnico em Segurança do Trabalho,Noite,Cursando,280.00,2025-06-28
5253,Larissa Schneider,Vinicius Rossi,Técnico em Informática,Manhã,Concluído,390.00,2025-05-19
5254,Cristiane Carvalho,Nelson Fontoura,Técnico em Segurança do Trabalho,Noite,CURSANDO,320.00,2026-02-27
5255,Priscila Fagundes,Jonas Menezes Almeida,TECNICO EM INFORMATICA,Noite,Concluído,390.00,2025-10-25
5256,Maria Sartori,Alexandre Weber Beltrame,TECNICO EM ENFERMAGEM,Noite,EVADIDO,460.00,2026-06-26
5257,Ricardo Marques Menezes,Daniela Rodrigues Almeida,TECNICO EM ADMINISTRACAO,Noite,CURSANDO,320.00,2025-03-19
5258,Vanessa Pilla,Jessica Dutra,SEGURANCA DO TRABALHO,Manhã,CURSANDO,300.00,2026-03-03
5259,Camila Almeida Ribeiro,Gustavo Pilla,Técnico em Contabilidade,Noite,CURSANDO,310.00,2025-10-16
5260,Maria Martins,Rosane Trindade,TECNICO EM ADMINISTRACAO ,Tarde,Concluído,310.00,2026-07-24
5261,Paulo Schneider,Nelson Almeida Rodrigues,Técnico em Informática,Noite,CONCLUIDO,390.00,2026-01-27
5262,Carla Nunes,Daniela Santos,Técnico em Informática,Noite,CURSANDO,370.00,2025-07-29
5263,  Gustavo Silva Dutra,Elisa Schneider,TECNICO EM ESTETICA,Manhã,Evadido,430.00,2026-07-25
5264,Eduardo Barcellos,Cristiane Nunes Souza,TECNICO EM ADMINISTRACAO,Noite,EVADIDO,330.00,2025-08-28
5265,Renata Gomes,Leonardo Pereira,Técnico em Enfermagem,Noite,Cursando,490.00,2025-09-12
5266,Daniela Kunz,Nelson Almeida Menezes,Técnico em Logística,Noite,Evadido,310.00,2026-02-20
5267,Bianca Silva Fontoura,Leticia Rodrigues,Técnico em Informática,Noite,Cursando,390.00,2025-06-10
5268,Amanda Almeida,Aline Santos,Técnico em Administração,Noite,EVADIDO,320.00,2025-11-14
5269,Fernanda Rocha   ,,Técnico em Enfermagem,Manhã,Cursando,480.00,2026-01-19
5270,Thiago Fontoura Cardoso,Carla Kunz Machado,Técnico em Enfermagem,Manhã,Concluído,480.00,2026-06-30
5271,Eduarda Carvalho,,Técnico em Enfermagem,Tarde,Evadido,460.00,2025-10-17
5272,Luciana Schneider Pereira,Nathalia Vargas,TECNICO EM ENFERMAGEM,Tarde,Cursando,480.00,2026-06-12
5273,Rafael Costa Gomes,Renata Ribeiro Beltrame,Técnico em Administração,Noite,Cursando,300.00,2026-02-04
5274,Matheus Ribeiro,Gabriela Machado,TECNICO EM ADMINISTRACAO,Tarde,Cursando,300.00,2026-04-22
5275,Patricia Menezes Martins,Eduarda Lima Dutra,Técnico em Administração,Tarde,Cursando,310.00,2026-07-28
5276,Leticia Goulart,Bianca Gomes Ferreira,Técnico em Administração,Noite,CONCLUIDO,300.00,2025-11-03
5277,Aline Silva,Carla Oliveira Gomes,Técnico em Estética,Noite,CURSANDO,430.00,2026-04-17
5278,Bianca Santos,Alexandre Barcellos,Técnico em Enfermagem,Manhã,Evadido,500.00,2025-07-08
5279,Gustavo Souza Ribeiro,Tatiane Zanella,Técnico em Informática,Tarde,Concluído,410.00,2025-10-12
5280,Lucas Cardoso,Elisa Brum Oliveira,SEGURANCA DO TRABALHO,Noite,Cursando,310.00,2025-06-28
5281,Ricardo Menezes,Leticia Costa,Técnico em Administração,Tarde,CURSANDO,320.00,2025-03-27
5282,Jonas Carvalho,Cristiane Costa,Técnico em Enfermagem,Noite,CURSANDO,490.00,2025-09-09
5283,Tatiane Souza,Rodrigo Schneider,SEGURANCA DO TRABALHO,Manhã,Cursando,320.00,2026-01-02
5284,Rosane Trindade Weber,Amanda Costa Brum,Técnico em Enfermagem ,Noite,Evadido,480.00,2025-09-23
5285,Nathalia Goulart,Alexandre Ferreira Lima,TECNICO EM ADMINISTRACAO,Tarde,Evadido,320.00,2026-05-23
5286,Luciana Weber Silva,Bruno Pilla Sartori,Técnico em Administração,Noite,EVADIDO,340.00,2026-06-02
5287,Amanda Rocha,Matheus Brum,TECNICO EM ESTETICA,Manhã,CURSANDO,420.00,2026-07-31
5288,Aline Oliveira Lima,Vinicius Trindade Zanella,TECNICO EM ADMINISTRACAO,Tarde,Evadido,320.00,2025-02-27
5289,Rosane Vargas,Elisa Gomes,TECNICO EM ADMINISTRACAO,Noite,EVADIDO,320.00,2026-04-13
5290,Otavio Martins Goulart,Bruno Fontoura Almeida,Técnico em Estética ,Noite,Cursando,420.00,2026-07-10
5291,Matheus Pereira Gomes,Douglas Almeida,Técnico em Segurança do Trabalho,Manhã,CURSANDO,310.00,2026-03-30
5292,Sergio Beltrame,Renata Barcellos,Técnico em Administração,Manhã,Evadido,320.00,2025-04-05
5293,Maria Almeida,Alexandre Brum,Técnico em Administração,Noite,Cursando,300.00,2026-07-20
5294,Gabriela Rodrigues,Ana Dutra Bueno,Técnico em Logística,Manhã,Concluído,330.00,2025-05-15
5295,Leonardo Rossi Barcellos,Tatiane Barcellos Ferreira,Técnico em Administração,Tarde,Concluído,340.00,2025-03-14
5296,Rafael Souza,Felipe Ribeiro,TECNICO EM ADMINISTRACAO,Noite,CONCLUIDO,320.00,2025-02-09
5297,Sabrina Oliveira,Renata Fontoura Goulart,Técnico em Informática,Manhã,Cursando,390.00,2026-02-01
5298,Nelson Marques,Nelson Almeida,TECNICO EM INFORMATICA,Tarde,Cursando,390.00,2025-07-31
5299,Rosane Bueno Almeida,Cristiane Schneider,Técnico em Segurança do Trabalho,Noite,Cursando,300.00,2026-03-07
5300,Jessica Pereira,,TECNICO EM INFORMATICA,Noite,Concluído,410.00,2026-01-24
5301,Marcos Pilla,Maicon Sartori,Enfermagem,Manhã,EVADIDO,480.00,2025-03-27
5302,Carla Rodrigues,Eduarda Ribeiro,Técnico em Informática,Manhã,EVADIDO,400.00,2025-07-03
5303,Amanda Martins Ferreira,Gabriela Zanella,TECNICO EM ADMINISTRACAO,Noite,CONCLUIDO,330.00,2026-04-15
5304,Sergio Souza   ,Sergio Barcellos,TECNICO EM LOGISTICA,Manhã,EVADIDO,330.00,2026-07-14
5305,Patricia Nunes Schneider,Eduarda Kunz,Técnico em Informática,Noite,Concluído,380.00,2025-03-07
5306,Jessica Dutra,Jessica Barcellos,Técnico em Enfermagem,Manhã,Cursando,480.00,2025-09-22
5307,Lucas Cardoso,Elisa Brum Oliveira,SEGURANCA DO TRABALHO,Noite,Cursando,310.00,2025-06-28
5308,Mariana Rodrigues Schneider,Aline Gomes Machado,Técnico em Administração,Tarde,Cursando,340.00,2025-10-13
5309,Rafael Machado,Thiago Weber Pilla,TECNICO EM ADMINISTRACAO,Tarde,Evadido,320.00,2025-08-25
5310,Luciana Brum,Ana Sartori,Enfermagem,Noite,Evadido,490.00,2026-04-05
5311,Everton Dutra,Bruna Zanella Gomes,Técnico em Administração,Manhã,Cursando,330.00,2025-12-04
5312,Vinicius Sartori,Bianca Souza,Técnico em Administração,Noite,EVADIDO,310.00,2026-02-18
5313,Felipe Fontoura,Bruna Brum,SEGURANCA DO TRABALHO,Manhã,Concluído,290.00,2026-07-16
5314,Jessica Feltrin Pilla,Nelson Dutra Silva,Técnico em Administração,Noite,Cursando,340.00,2026-07-20
5315,Bruno Pilla,Simone Vargas,Técnico em Informática,Noite,Concluído,370.00,2025-08-21
5316,Adriana Nunes Costa,Carla Souza,TECNICO EM ENFERMAGEM,Noite,Cursando,500.00,2026-05-02
5317,Larissa Beltrame,Cesar Marques Trindade,Técnico em Informática,Noite,CONCLUIDO,390.00,2026-03-18
5318,Maicon Rossi,Gabriela Machado Martins,Técnico em Administração,Noite,Evadido,320.00,2026-05-14
5319,Marcos Almeida,Fabio Santos Ferreira,Técnico em Contabilidade,Noite,Concluído,320.00,2025-08-11
5320,Aline Silva,Juliana Carvalho,Técnico em Informática,Manhã,Concluído,410.00,2026-04-13
5321,Bianca Pereira,Fabio Schneider,Técnico em Informática,Manhã,Cursando,380.00,2025-10-24
5322,Eduardo Marques,Carla Lima Bueno,Técnico em Informática,Noite,EVADIDO,390.00,2026-01-14
5323,Alexandre Cardoso Rodrigues,Adriana Souza,Enfermagem,Manhã,Evadido,470.00,2025-04-24
5324,Juliana Costa,Tiago Fontoura Fontoura,Técnico em Informática,Manhã,CURSANDO,400.00,2025-06-12
5325,Rosane Trindade,Marcos Pilla Sartori,TECNICO EM ADMINISTRACAO,Manhã,Cursando,340.00,2026-06-23
5326,Rafael Bortolotto Fontoura,Simone Moraes,Técnico em Logística,Manhã,CONCLUIDO,340.00,2026-01-16
5327,Patricia Machado Santos,Maria Kunz,Técnico em Administração ,Tarde,Cursando,310.00,2026-05-31
5328,Thiago Goulart Rossi,Rosane Gomes Zanella,Técnico em Informática,Noite,Cursando,380.00,2026-03-12
5329,Maicon Ribeiro,Patricia Bueno Brum,Técnico em Informática,Noite,Concluído,380.00,2025-10-08
5330,Sergio Bortolotto Machado   ,Patricia Ribeiro,TECNICO EM LOGISTICA,Manhã,EVADIDO,310.00,2025-10-09
5331,Ricardo Cardoso,Willian Schneider,Técnico em Informática ,Manhã,Cursando,390.00,2026-01-17
5332,  Aline Oliveira Rodrigues,Paulo Moraes,Técnico em Administração,Tarde,EVADIDO,310.00,2025-06-23
5333,Larissa Barcellos,Lucas Fagundes,Técnico em Administração,Manhã,CONCLUIDO,320.00,2025-05-08
5334,Fabio Rodrigues Feltrin,Juliana Fagundes,SEGURANCA DO TRABALHO,Manhã,CURSANDO,280.00,2025-02-27
5335,Cesar Oliveira Bortolotto,Pedro Souza,Técnico em Administração,Tarde,CONCLUIDO,310.00,2025-04-20
5336,Rosane Zanella Bortolotto,,Técnico em Enfermagem,Noite,Evadido,470.00,2025-11-20
5337,Daniela Rodrigues,Maria Lima,Técnico em Informática,Noite,CURSANDO,390.00,2025-04-19
5338,Tatiane Gomes,Camila Moraes Souza,TECNICO EM INFORMATICA,Noite,Evadido,400.00,2025-02-07
5339,Everton Cardoso Costa,Larissa Lima,Técnico em Administração,Manhã,Concluído,310.00,2026-03-26
5340,Amanda Pereira   ,Tatiane Silva Almeida,Técnico em Contabilidade,Noite,Concluído,290.00,2025-03-30
5341,Adriana Cardoso Silva,Eduardo Costa,Técnico em Informática,Tarde,Cursando,370.00,2026-02-15
5342,Tatiane Cardoso,Douglas Dutra Nunes,Técnico em Administração,Noite,CURSANDO,340.00,2025-10-26
5343,Jessica Rossi Bueno   ,Tiago Costa,TECNICO EM ADMINISTRACAO,Noite,Concluído,330.00,2026-05-12
5344,Diego Rossi Goulart,Bruna Ribeiro,Técnico em Administração,Manhã,EVADIDO,320.00,2025-04-05
5345,Elisa Schneider Marques,Rafael Zanella,Técnico em Informática,Manhã,Evadido,390.00,2026-01-14
5346,Leticia Pilla,Daniela Bueno Rodrigues,Técnico em Enfermagem,Noite,Concluído,500.00,2026-03-18
5347,Ricardo Bueno,Mariana Gomes,TECNICO EM INFORMATICA,Noite,CURSANDO,400.00,2025-04-16
5348,Ricardo Nunes Almeida,Simone Weber,Técnico em Administração,Noite,CURSANDO,300.00,2025-11-15
5349,Ricardo Machado Menezes,Ana Vargas,Técnico em Enfermagem,Noite,CONCLUIDO,460.00,2025-03-22
5350,Priscila Costa,Bruna Bortolotto Bueno,TECNICO EM INFORMATICA,Manhã,Cursando,410.00,2026-07-19
5351,Matheus Brum,Sabrina Machado,Técnico em Administração,Manhã,Cursando,340.00,2026-02-01
5352,Renata Pilla,Rodrigo Rodrigues Schneider,TECNICO EM ESTETICA,Manhã,Cursando,440.00,2026-06-16
5353,Maicon Kunz,Maria Pereira Costa,Técnico em Informática,Noite,Concluído,370.00,2026-01-15
5354,Fernanda Weber,Fernanda Schneider,Técnico em Administração,Noite,CONCLUIDO,330.00,2026-07-27
5355,Bruna Souza,Nathalia Rossi,Técnico em Administração,Manhã,Concluído,300.00,2025-08-11
5356,Andre Barcellos Fagundes,Simone Oliveira Goulart,Técnico em Informática,Manhã,Cursando,410.00,2025-06-25
5357,Fabio Rocha,Sabrina Bueno Gomes,Técnico em Administração,Manhã,CONCLUIDO,300.00,2025-08-23
5358,Patricia Vargas,Alexandre Costa Trindade,Técnico em Administração ,Noite,Evadido,300.00,2026-02-17
5359,Sergio Ribeiro Bueno,Felipe Machado Sartori,Técnico em Informática,Manhã,Concluído,410.00,2025-04-12
5360,Gustavo Barcellos Pilla,Gabriela Sartori,TECNICO EM ADMINISTRACAO,Tarde,Concluído,320.00,2026-07-23
5361,Everton Sartori,Andre Oliveira,SEGURANCA DO TRABALHO,Noite,Cursando,300.00,2025-06-20
5362,Patricia Barcellos,,TECNICO EM ADMINISTRACAO,Tarde,CONCLUIDO,300.00,2025-04-13
5363,Douglas Rocha   ,Simone Barcellos,Técnico em Administração,Manhã,Cursando,320.00,2025-10-17
5364,Nathalia Souza,Maicon Souza,Técnico em Administração,Noite,Cursando,330.00,2025-06-07
5365,Andre Ferreira,Willian Vargas,TECNICO EM ADMINISTRACAO,Noite,CONCLUIDO,320.00,2025-05-11
5366,Sabrina Fagundes,Nelson Rocha,Técnico em Contabilidade,Noite,Cursando,330.00,2026-06-05
5367,Paulo Brum,,Técnico em Administração,Noite,Concluído,320.00,2026-03-07
5368,Camila Bueno,Fabio Rossi,Técnico em Administração,Noite,CURSANDO,330.00,2025-04-09
5369,Paulo Martins,Jonas Pereira,TECNICO EM LOGISTICA,Noite,Cursando,310.00,2025-07-25
5370,Gabriela Marques Trindade,Bruna Trindade Martins,Técnico em Segurança do Trabalho,Noite,CONCLUIDO,300.00,2025-02-12
5371,Nathalia Kunz,,Técnico em Segurança do Trabalho,Manhã,Concluído,310.00,2026-02-03
5372,Patricia Zanella,Joao Sartori Martins,TECNICO EM CONTABILIDADE,Manhã,CURSANDO,310.00,2025-04-28
5373,  Gabriela Dutra,,TECNICO EM INFORMATICA,Noite,Concluído,370.00,2026-03-17
5374,Marcos Zanella,Leonardo Oliveira Brum,Técnico em Segurança do Trabalho,Noite,Cursando,290.00,2026-02-13
5375,Mariana Sartori Weber,Marcos Bueno,Técnico em Administração,Tarde,Evadido,320.00,2025-02-03
5376,Renata Pilla,Ricardo Oliveira,Técnico em Estética,Manhã,Concluído,410.00,2025-08-26
5377,Everton Schneider,Maria Dutra,TECNICO EM LOGISTICA ,Noite,Concluído,330.00,2026-05-16
5378,Thiago Brum,Renata Rossi,Técnico em Logística,Manhã,Cursando,310.00,2025-11-15
5379,Ana Santos,Vinicius Rossi,Técnico em Logística,Tarde,Cursando,310.00,2026-05-30
5380,Elisa Marques Lima,Tiago Bueno,Técnico em Estética,Noite,Cursando,420.00,2025-11-23
5381,Tatiane Vargas,Sergio Ribeiro Trindade,Técnico em Estética,Manhã,Cursando,400.00,2025-05-08
5382,  Nathalia Machado Bueno,Tatiane Souza Ribeiro,Técnico em Estética,Tarde,Concluído,420.00,2025-08-01
5383,Elisa Schneider Marques,Rafael Zanella,Técnico em Informática,Manhã,Evadido,390.00,2026-01-14
5384,Matheus Martins,Sergio Dutra,TECNICO EM LOGISTICA,Noite,CONCLUIDO,330.00,2026-01-20
